"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to non-financial corporations, including securitisations","%","2.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to households, including securitisations","%","0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to households, including securitisations","%","0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to households, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to non-financial corporations, including securitisations","%","2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to households, including securitisations","%","0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to households, including securitisations","%","0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to non-financial corporations, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to households, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to households, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to households, including securitisations","%","0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to non-financial corporations, including securitisations","%","1.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to non-financial corporations, including securitisations","%","0.5"
